Variable,Data Type,Example
ID,int64,5524
Year_Birth,int64,1957
Education,str,Graduation
Marital_Status,str,Single
Income,float64,58138.0
Kidhome,int64,0
Teenhome,int64,0
Dt_Customer,str,04-09-2012
Recency,int64,58
MntWines,int64,635
MntFruits,int64,88
MntMeatProducts,int64,546
MntFishProducts,int64,172
MntSweetProducts,int64,88
MntGoldProds,int64,88
NumDealsPurchases,int64,3
NumWebPurchases,int64,8
NumCatalogPurchases,int64,10
NumStorePurchases,int64,4
NumWebVisitsMonth,int64,7
AcceptedCmp3,int64,0
AcceptedCmp4,int64,0
AcceptedCmp5,int64,0
AcceptedCmp1,int64,0
AcceptedCmp2,int64,0
Complain,int64,0
Z_CostContact,int64,3
Z_Revenue,int64,11
Response,int64,1
